city,state
Bhavnagar,Gujarat
Hisar,Haryana
Bilaspur,Chhattisgarh
Tirunelveli,Tamil Nadu
Guntur,Andhra Pradesh
Shiliguri,West Bengal
Ujjain,Madhya Pradesh
Davangere,Karnataka
Akola,Maharashtra
Saharanpur,Uttar Pradesh
Gulbarga,Karnataka
Bhatpara,West Bengal
Dhulia,Maharashtra
Udaipur,Rajasthan
Bellary,Karnataka
Tuticorin,Tamil Nadu
Kurnool,Andhra Pradesh
Gaya,Bihar
Sikar,Rajasthan
Tumkur,Karnataka
Kollam,Kerala
Ahmadnagar,Maharashtra
Bhilwara,Rajasthan
Nizamabad,Andhra Pradesh
Parbhani,Maharashtra
Shillong,Meghalaya
Latur,Maharashtra
Rajapalaiyam,Tamil Nadu
Bhagalpur,Bihar
Muzaffarnagar,Uttar Pradesh
Muzaffarpur,Bihar
Mathura,Uttar Pradesh
Patiala,Punjab
Saugor,Madhya Pradesh
Brahmapur,Odisha
Shahbazpur,Uttar Pradesh
New Delhi,Delhi
Rohtak,Haryana
Samlaipadar,Odisha
Ratlam,Madhya Pradesh
Firozabad,Uttar Pradesh
Rajahmundry,Andhra Pradesh
Barddhaman,West Bengal
Bidar,Karnataka
Bamanpuri,Uttar Pradesh
Kakinada,Andhra Pradesh
Panipat,Haryana
Khammam,Andhra Pradesh
Bhuj,Gujarat
Karimnagar,Andhra Pradesh
Tirupati,Andhra Pradesh
Hospet,Karnataka
Chikka Mandya,Karnataka
Alwar,Rajasthan
Aizawl,Mizoram
Bijapur,Karnataka
Imphal,Manipur
Tharati Etawah,Uttar Pradesh
Raichur,Karnataka
Pathankot,Punjab
Chirala,Andhra Pradesh
Sonipat,Haryana
Mirzapur,Uttar Pradesh
Hapur,Uttar Pradesh
Porbandar,Gujarat
Bharatpur,Rajasthan
Puducherry,Puducherry
Karnal,Haryana
Nagercoil,Tamil Nadu
Thanjavur,Tamil Nadu
Pali,Rajasthan
Agartala,Tripura
Ongole,Andhra Pradesh
Puri,Odisha
Dindigul,Tamil Nadu
Haldia,West Bengal
Bulandshahr,Uttar Pradesh
Purnea,Bihar
Proddatur,Andhra Pradesh
Gurgaon,Haryana
Khanapur,Maharashtra
Machilipatnam,Andhra Pradesh
Bhiwani,Haryana
Nandyal,Andhra Pradesh
Bhusaval,Maharashtra
Bharauri,Uttar Pradesh
Tonk,Rajasthan
Sirsa,Haryana
Vizianagaram,Andhra Pradesh
Vellore,Tamil Nadu
Alappuzha,Kerala
Shimla,Himachal Pradesh
Hindupur,Andhra Pradesh
Baramula,Jammu and Kashmir
Bakshpur,Uttar Pradesh
Dibrugarh,Assam
Saidapur,Uttar Pradesh
Navsari,Gujarat
Budaun,Uttar Pradesh
Cuddalore,Tamil Nadu
Haripur,Punjab
Krishnapuram,Tamil Nadu
Fyzabad,Uttar Pradesh
Silchar,Assam
Ambala,Haryana
Krishnanagar,West Bengal
Kolar,Karnataka
Kumbakonam,Tamil Nadu
Tiruvannamalai,Tamil Nadu
Pilibhit,Uttar Pradesh
Abohar,Punjab
Port Blair,Andaman and Nicobar Islands
Alipur Duar,West Bengal
Hatisa,Uttar Pradesh
Valparai,Tamil Nadu
Aurangabad,Bihar
Kohima,Nagaland
Gangtok,Sikkim
Karur,Tamil Nadu
Jorhat,Assam
Panaji,Goa
Saidpur,Jammu and Kashmir
Tezpur,Assam
Itanagar,Arunachal Pradesh
Daman,Daman and Diu
Silvassa,Dadra and Nagar Haveli
Diu,Daman and Diu
Dispur,Assam
Kavaratti,Lakshadweep
Calicut,Kerala
Kagaznagar,Andhra Pradesh
Jaipur,Rajasthan
Ghandinagar,Gujarat
Panchkula,Haryana
